time, sensor_id, node_x, node_y, T_in, T_out, signal_strength,
204.448, 1, 4.62, 1.21, 16.4587, 8.55251, 2.01442, 
204.576, 1, 4.62, 1.21, 16.5875, 8.83114, 2.01286, 
204.704, 1, 4.62, 1.21, 16.9665, 8.17463, 2.01102, 
204.832, 1, 4.62, 1.21, 16.5879, 8.63383, 2.00891, 
204.96, 1, 4.62, 1.21, 16.8893, 8.5846, 2.00652, 
205.088, 1, 4.62, 1.21, 16.4667, 8.21288, 2.00385, 
205.216, 1, 4.62, 1.21, 16.3833, 8.12589, 2.00091, 
205.344, 1, 4.62, 1.21, 16.5737, 8.67265, 1.9977, 
205.472, 1, 4.62, 1.21, 16.4106, 8.54251, 1.99422, 
205.6, 1, 4.62, 1.21, 16.9938, 8.3382, 1.99047, 
205.728, 1, 4.62, 1.21, 16.7855, 7.98276, 1.98647, 
205.856, 1, 4.62, 1.21, 16.5217, 8.1495, 1.9822, 
205.984, 1, 4.62, 1.21, 16.921, 8.66741, 1.97768, 
206.112, 1, 4.62, 1.21, 16.6511, 8.61526, 1.97291, 
206.24, 1, 4.62, 1.21, 16.943, 8.93822, 1.96789, 
206.368, 1, 4.62, 1.21, 16.5062, 8.64421, 1.96262, 
206.496, 1, 4.62, 1.21, 16.8248, 8.60094, 1.95712, 
206.624, 1, 4.62, 1.21, 16.7229, 8.53603, 1.95138, 
206.752, 1, 4.62, 1.21, 16.4897, 8.63184, 1.94541, 
206.88, 1, 4.62, 1.21, 16.8464, 8.35719, 1.93921, 
207.008, 1, 4.62, 1.21, 16.6243, 8.79216, 1.9328, 
207.136, 1, 4.62, 1.21, 16.6359, 8.69568, 1.92616, 
207.264, 1, 4.62, 1.21, 16.3446, 8.7262, 1.91931, 
207.392, 1, 4.62, 1.21, 16.3156, 8.25301, 1.91225, 
207.52, 1, 4.62, 1.21, 16.4352, 9.09401, 1.905, 
207.648, 1, 4.62, 1.21, 16.5158, 9.02493, 1.89754, 
207.776, 1, 4.62, 1.21, 16.9718, 8.11802, 1.8899, 
207.904, 1, 4.62, 1.21, 16.646, 8.29801, 1.88206, 
208.032, 1, 4.62, 1.21, 16.5606, 8.7762, 1.87405, 
208.16, 1, 4.62, 1.21, 16.4639, 8.91537, 1.86586, 
208.288, 1, 4.62, 1.21, 15.876, 8.40818, 1.8575, 
208.416, 1, 4.62, 1.21, 16.8477, 8.81836, 1.84897, 
208.544, 1, 4.62, 1.21, 16.7095, 8.72478, 1.84029, 
208.672, 1, 4.62, 1.21, 17.1354, 8.60513, 1.83145, 
208.8, 1, 4.62, 1.21, 16.5715, 7.83618, 1.82247, 
208.928, 1, 4.62, 1.21, 16.4281, 7.935, 1.81334, 
209.056, 1, 4.62, 1.21, 16.8187, 8.11421, 1.80408, 
209.184, 1, 4.62, 1.21, 16.2293, 9.10008, 1.79468, 
209.312, 1, 4.62, 1.21, 16.6105, 8.61546, 1.78516, 
209.44, 1, 4.62, 1.21, 16.6166, 8.14471, 1.77552, 
209.568, 1, 4.62, 1.21, 16.3724, 9.27062, 1.76577, 
209.696, 1, 4.62, 1.21, 16.6495, 8.17016, 1.75591, 
209.824, 1, 4.62, 1.21, 16.8722, 8.94825, 1.74594, 
209.952, 1, 4.62, 1.21, 16.7708, 8.96588, 1.73587, 
210.08, 1, 4.62, 1.21, 16.7415, 8.58111, 1.72571, 
210.208, 1, 4.62, 1.21, 16.4555, 8.70774, 1.71547, 
210.336, 1, 4.62, 1.21, 16.9703, 8.18837, 1.70514, 
210.464, 1, 4.62, 1.21, 16.6749, 7.80918, 1.69473, 
210.592, 1, 4.62, 1.21, 16.6735, 8.40977, 1.68425, 
210.72, 1, 4.62, 1.21, 16.2642, 9.01444, 1.67371, 
210.848, 1, 4.62, 1.21, 16.8563, 9.14751, 1.6631, 
210.976, 1, 4.62, 1.21, 16.5578, 8.79943, 1.65244, 
211.104, 1, 4.62, 1.21, 16.8574, 8.78327, 1.64172, 
211.232, 1, 4.62, 1.21, 16.9084, 9.03968, 1.63095, 
211.36, 1, 4.62, 1.21, 16.8895, 8.08731, 1.62014, 
211.488, 1, 4.62, 1.21, 16.4605, 8.6645, 1.60929, 
211.616, 1, 4.62, 1.21, 17.2273, 8.80969, 1.59841, 
211.744, 1, 4.62, 1.21, 16.6578, 9.08653, 1.5875, 
211.872, 1, 4.62, 1.21, 16.3208, 8.18209, 1.57656, 
389.408, 2, 1.30989, 2.56938, 16.5937, 8.31607, 1.57828, 
389.536, 2, 1.30989, 2.56938, 16.3015, 9.33353, 1.5894, 
389.664, 2, 1.30989, 2.56938, 16.2728, 8.92218, 1.6005, 
389.792, 2, 1.30989, 2.56938, 16.2929, 8.1561, 1.61158, 
389.92, 2, 1.30989, 2.56938, 16.3322, 8.43303, 1.62262, 
390.048, 2, 1.30989, 2.56938, 16.8158, 8.79309, 1.63363, 
390.176, 2, 1.30989, 2.56938, 16.7204, 8.8444, 1.64461, 
390.304, 2, 1.30989, 2.56938, 16.7032, 8.67656, 1.65553, 
390.432, 2, 1.30989, 2.56938, 16.9318, 8.53621, 1.66641, 
390.56, 2, 1.30989, 2.56938, 16.6287, 8.50362, 1.67724, 
390.688, 2, 1.30989, 2.56938, 16.6493, 8.8434, 1.68801, 
390.816, 2, 1.30989, 2.56938, 16.888, 8.50716, 1.69872, 
390.944, 2, 1.30989, 2.56938, 16.6375, 8.59643, 1.70936, 
391.072, 2, 1.30989, 2.56938, 16.2692, 9.32212, 1.71993, 
391.2, 2, 1.30989, 2.56938, 16.6386, 8.39016, 1.73042, 
391.328, 2, 1.30989, 2.56938, 16.3145, 8.48071, 1.74082, 
391.456, 2, 1.30989, 2.56938, 16.4738, 8.23711, 1.75114, 
391.584, 2, 1.30989, 2.56938, 16.5153, 8.57662, 1.76136, 
391.712, 2, 1.30989, 2.56938, 16.9231, 8.2354, 1.77149, 
391.84, 2, 1.30989, 2.56938, 16.2891, 9.17205, 1.78151, 
391.968, 2, 1.30989, 2.56938, 16.7363, 9.00044, 1.79141, 
392.096, 2, 1.30989, 2.56938, 16.4395, 8.61241, 1.80121, 
392.224, 2, 1.30989, 2.56938, 16.8793, 8.42457, 1.81088, 
392.352, 2, 1.30989, 2.56938, 16.576, 8.06077, 1.82042, 
392.48, 2, 1.30989, 2.56938, 16.3431, 8.58918, 1.82983, 
392.608, 2, 1.30989, 2.56938, 16.5592, 8.89352, 1.8391, 
392.736, 2, 1.30989, 2.56938, 16.5244, 8.97293, 1.84823, 
392.864, 2, 1.30989, 2.56938, 16.6593, 8.85215, 1.85721, 
392.992, 2, 1.30989, 2.56938, 16.078, 8.87686, 1.86603, 
393.12, 2, 1.30989, 2.56938, 16.665, 8.64491, 1.87468, 
393.248, 2, 1.30989, 2.56938, 16.1099, 8.45923, 1.88318, 
393.376, 2, 1.30989, 2.56938, 16.7586, 8.26501, 1.89149, 
393.504, 2, 1.30989, 2.56938, 16.3997, 8.55789, 1.89963, 
393.632, 2, 1.30989, 2.56938, 16.6381, 8.6739, 1.90759, 
393.76, 2, 1.30989, 2.56938, 16.5554, 8.55578, 1.91536, 
393.888, 2, 1.30989, 2.56938, 16.6029, 8.55666, 1.92293, 
394.016, 2, 1.30989, 2.56938, 16.7165, 8.6277, 1.9303, 
394.144, 2, 1.30989, 2.56938, 16.7462, 8.57676, 1.93746, 
394.272, 2, 1.30989, 2.56938, 16.8028, 8.59016, 1.94442, 
394.4, 2, 1.30989, 2.56938, 16.4896, 8.41894, 1.95115, 
394.528, 2, 1.30989, 2.56938, 16.9474, 8.22052, 1.95767, 
394.656, 2, 1.30989, 2.56938, 16.7008, 8.5409, 1.96396, 
394.784, 2, 1.30989, 2.56938, 16.5833, 8.57772, 1.97002, 
394.912, 2, 1.30989, 2.56938, 16.2714, 8.33439, 1.97584, 
395.04, 2, 1.30989, 2.56938, 16.6932, 8.74323, 1.98142, 
395.168, 2, 1.30989, 2.56938, 16.6269, 8.5103, 1.98676, 
395.296, 2, 1.30989, 2.56938, 16.5296, 8.6048, 1.99185, 
395.424, 2, 1.30989, 2.56938, 16.4994, 8.6834, 1.99669, 
395.552, 2, 1.30989, 2.56938, 16.5161, 8.77383, 2.00127, 
395.68, 2, 1.30989, 2.56938, 16.7594, 8.63155, 2.00559, 
395.808, 2, 1.30989, 2.56938, 16.7599, 8.54375, 2.00965, 
395.936, 2, 1.30989, 2.56938, 16.6411, 8.44233, 2.01344, 
396.064, 2, 1.30989, 2.56938, 16.3839, 8.30005, 2.01696, 
396.192, 2, 1.30989, 2.56938, 16.6398, 8.63775, 2.0202, 
396.32, 2, 1.30989, 2.56938, 16.5945, 8.48658, 2.02317, 
396.448, 2, 1.30989, 2.56938, 16.4255, 8.55937, 2.02587, 
396.576, 2, 1.30989, 2.56938, 16.6496, 8.93879, 2.02828, 
396.704, 2, 1.30989, 2.56938, 16.4619, 8.53715, 2.03041, 
396.832, 2, 1.30989, 2.56938, 16.3091, 9.18445, 2.03225, 
396.96, 2, 1.30989, 2.56938, 16.532, 8.75766, 2.03381, 
397.088, 2, 1.30989, 2.56938, 16.5367, 9.16189, 2.03508, 
397.216, 2, 1.30989, 2.56938, 16.7503, 9.12125, 2.03606, 
397.344, 2, 1.30989, 2.56938, 16.9521, 8.74022, 2.03675, 
397.472, 2, 1.30989, 2.56938, 16.6754, 8.39099, 2.03716, 
397.6, 2, 1.30989, 2.56938, 16.6232, 8.87483, 2.03727, 
397.728, 2, 1.30989, 2.56938, 16.8583, 8.42413, 2.03709, 
397.856, 2, 1.30989, 2.56938, 16.7874, 8.03636, 2.03663, 
397.984, 2, 1.30989, 2.56938, 16.5122, 8.68688, 2.03587, 
398.112, 2, 1.30989, 2.56938, 16.4623, 8.63837, 2.03482, 
398.24, 2, 1.30989, 2.56938, 16.5507, 9.13694, 2.03349, 
398.368, 2, 1.30989, 2.56938, 16.3007, 8.8081, 2.03187, 
398.496, 2, 1.30989, 2.56938, 16.6124, 8.49078, 2.02996, 
398.624, 2, 1.30989, 2.56938, 16.183, 8.0436, 2.02777, 
398.752, 2, 1.30989, 2.56938, 16.6817, 8.43842, 2.0253, 
398.88, 2, 1.30989, 2.56938, 16.5155, 8.69987, 2.02254, 
399.008, 2, 1.30989, 2.56938, 16.8053, 8.95676, 2.01951, 
399.136, 2, 1.30989, 2.56938, 16.9603, 8.4699, 2.01621, 
399.264, 2, 1.30989, 2.56938, 17.1492, 8.21703, 2.01263, 
399.392, 2, 1.30989, 2.56938, 16.45, 8.34689, 2.00878, 
399.52, 2, 1.30989, 2.56938, 16.5444, 8.69084, 2.00467, 
399.648, 2, 1.30989, 2.56938, 16.7863, 8.27791, 2.00029, 
399.776, 2, 1.30989, 2.56938, 16.7071, 8.56787, 1.99565, 
399.904, 2, 1.30989, 2.56938, 16.4633, 8.82468, 1.99076, 
400.032, 2, 1.30989, 2.56938, 16.6266, 8.89071, 1.98561, 
400.16, 2, 1.30989, 2.56938, 16.5386, 9.293, 1.98022, 
400.288, 2, 1.30989, 2.56938, 16.5935, 8.45812, 1.97458, 
400.416, 2, 1.30989, 2.56938, 16.6128, 8.95789, 1.96871, 
400.544, 2, 1.30989, 2.56938, 16.5042, 8.77242, 1.9626, 
400.672, 2, 1.30989, 2.56938, 16.3993, 8.18664, 1.95626, 
400.8, 2, 1.30989, 2.56938, 16.8088, 8.07957, 1.94969, 
400.928, 2, 1.30989, 2.56938, 16.5892, 8.4759, 1.94291, 
401.056, 2, 1.30989, 2.56938, 16.8391, 8.40616, 1.93591, 
401.184, 2, 1.30989, 2.56938, 16.3305, 8.6402, 1.9287, 
401.312, 2, 1.30989, 2.56938, 16.5442, 8.7493, 1.92128, 
401.44, 2, 1.30989, 2.56938, 16.3661, 8.95273, 1.91367, 
401.568, 2, 1.30989, 2.56938, 16.7519, 8.31943, 1.90586, 
401.696, 2, 1.30989, 2.56938, 16.6278, 8.88297, 1.89786, 
401.824, 2, 1.30989, 2.56938, 16.7822, 8.73265, 1.88968, 
401.952, 2, 1.30989, 2.56938, 16.5616, 9.00212, 1.88133, 
402.08, 2, 1.30989, 2.56938, 16.4689, 8.59633, 1.8728, 
402.208, 2, 1.30989, 2.56938, 16.5545, 8.88633, 1.8641, 
402.336, 2, 1.30989, 2.56938, 16.5616, 8.07816, 1.85525, 
402.464, 2, 1.30989, 2.56938, 16.543, 8.76136, 1.84624, 
402.592, 2, 1.30989, 2.56938, 16.9238, 8.94619, 1.83708, 
402.72, 2, 1.30989, 2.56938, 16.7187, 8.43017, 1.82778, 
402.848, 2, 1.30989, 2.56938, 16.6742, 8.85597, 1.81834, 
402.976, 2, 1.30989, 2.56938, 16.6679, 8.78007, 1.80876, 
403.104, 2, 1.30989, 2.56938, 16.7119, 8.96634, 1.79907, 
403.232, 2, 1.30989, 2.56938, 16.5154, 8.32387, 1.78925, 
403.36, 2, 1.30989, 2.56938, 16.4531, 8.19102, 1.77932, 
403.488, 2, 1.30989, 2.56938, 17.0485, 8.79333, 1.76927, 
403.616, 2, 1.30989, 2.56938, 16.4616, 8.33149, 1.75913, 
403.744, 2, 1.30989, 2.56938, 16.3707, 7.88954, 1.74888, 
403.872, 2, 1.30989, 2.56938, 16.5269, 8.24274, 1.73854, 
404, 2, 1.30989, 2.56938, 16.5181, 8.23449, 1.72812, 
404.128, 2, 1.30989, 2.56938, 16.715, 8.31762, 1.71761, 
404.256, 2, 1.30989, 2.56938, 16.4953, 8.4601, 1.70703, 
404.384, 2, 1.30989, 2.56938, 16.7653, 8.62069, 1.69637, 
404.512, 2, 1.30989, 2.56938, 16.4915, 8.32417, 1.68565, 
404.64, 2, 1.30989, 2.56938, 16.4557, 9.01518, 1.67487, 
404.768, 2, 1.30989, 2.56938, 16.7345, 8.4417, 1.66403, 
404.896, 2, 1.30989, 2.56938, 16.3229, 8.18585, 1.65314, 
405.024, 2, 1.30989, 2.56938, 16.8007, 8.45726, 1.6422, 
405.152, 2, 1.30989, 2.56938, 16.4958, 8.75835, 1.63122, 
405.28, 2, 1.30989, 2.56938, 16.3273, 8.76222, 1.6202, 
405.408, 2, 1.30989, 2.56938, 16.6591, 8.63736, 1.60915, 
405.536, 2, 1.30989, 2.56938, 16.8628, 8.4667, 1.59807, 
